,0
204,"Blues Rock, Psychedelic Rock, Classic Rock"
205,None
206,"Fusion, Hard Rock, Psychedelic Rock"
207,"Folk Rock, Pop Rock"
208,Grunge
209,"Folk Rock, Country Rock, Classic Rock"
210,"Classic Rock, Prog Rock"
211,"Alternative Rock, Indie Rock"
212,Classic Rock
213,"Rhythm & Blues, Bayou Funk, Soul"
214,Glam
215,"Rhythm & Blues, Rock & Roll"
216,"Rhythm & Blues, Soul"
217,Indie Rock
218,None
219,"Bayou Funk, Soul, Funk"
220,"Alternative Rock, Shoegaze"
221,Piano Blues
222,Pop Rock
223,"Soft Rock, Ballad"
224,"Pop Rock, Punk"
225,Acoustic
226,Indie Rock
227,None
228,"Hard Rock, Blues Rock"
229,"Blues Rock, Pop Rock"
230,"Hard Rock, Pop Rock, Prog Rock"
231,"Rock & Roll, Pop Rock"
232,"Folk Rock, Garage Rock, Pop Rock"
233,"Folk Rock, Classic Rock"
234,None
235,?
236,Mod
237,None
238,Synth-pop
239,Classic Rock
240,"Alternative Rock, Power Pop, Punk, Indie Rock"
241,None
242,"Blues Rock, Heavy Metal"
243,"Pop Rap, Hardcore Hip-Hop, Horrorcore"
244,"Country Blues, Rock & Roll, Rhythm & Blues"
245,"Musique Concr?te, Avantgarde, Symphonic Rock, Rhythm & Blues, Psychedelic Rock, Experimental, Parody"
246,"Folk Rock, Country Rock, Psychedelic Rock, Experimental"
247,Free Jazz
248,Alternative Rock
249,None
250,"Art Rock, Ambient, Experimental"
251,None
252,"Folk Rock, Pop Rock, Classic Rock"
253,Soul
254,Heavy Metal
255,Electro
256,"Synth-pop, Rhythm & Blues"
257,"Psychedelic Rock, Pop Rock"
258,"RnB/Swing, Downtempo"
259,Vocal
260,Folk Rock
261,"Folk Rock, Classic Rock"
262,None
263,"Folk Rock, Country Rock, Classic Rock"
264,"Soul-Jazz, Big Band"
265,"Blues Rock, Jazz-Rock, Classic Rock"
266,"Hard Rock, Classic Rock, Mod"
267,"Folk Rock, Pop Rock"
268,Noise
269,"Blues Rock, Rock & Roll, Classic Rock, Disco"
270,"Pop Rock, Psychedelic Rock"
271,Indie Rock
272,Soul
273,"Funk, Disco"
274,None
275,"P.Funk, Funk"
276,"RnB/Swing, Downtempo, Synth-pop"
277,"Cajun, Country, Field Recording, Gospel, Delta Blues, Folk"
278,Glam
279,Pop Rock
280,RnB/Swing
281,Delta Blues
282,"Soul, Disco"
283,"New Wave, Pop Rock, Synth-pop"
284,"Soul-Jazz, Soul"
285,"Rhythm & Blues, Soul"
286,"Punk, Rock & Roll"
287,Psychedelic Rock
288,"Pop Rock, Psychedelic Rock, Mod"
289,"Rhythm & Blues, Soul"
290,New Wave
291,"Folk Rock, Country Rock, Classic Rock"
292,"Avantgarde, Experimental"
293,"Garage Rock, Hard Rock, Punk, Blues Rock"
294,"Folk Rock, Folk, Ballad"
295,"Alternative Rock, Indie Rock"
296,"Modern Classical, Avantgarde, Psychedelic Rock, Experimental, Parody"
297,"Pop Rap, Conscious, Contemporary R&B"
298,"Alternative Rock, Emo"
299,"Hard Rock, Heavy Metal"
300,Country
301,Conscious
302,"Folk Rock, Country Rock"
303,"Alternative Rock, Folk Rock"
304,"Country, Folk"
305,"Electro, Downtempo, Hip Hop, Disco, Afrobeat, Abstract"
306,"Soundtrack, Beat, Pop Rock"
307,"Vocal, Easy Listening"
308,"Blues Rock, Rock & Roll, Classic Rock"
309,"Alternative Rock, Funk Metal"
310,"Country Blues, Rock & Roll, Rockabilly"
311,Alternative Rock
312,"Folk Rock, Acoustic, Grunge"
313,"RnB/Swing, Conscious"
314,"Soft Rock, Hard Rock, Pop Rock"
315,"Garage Rock, Art Rock, Experimental"
316,Alternative Rock
317,Soul
318,Reggae
319,"Alternative Rock, Experimental"
320,"Folk, Folk Rock, Acoustic"
321,None
322,"Alternative Rock, New Wave, Pop Rock"
323,"Classic Rock, Soul, Funk, Art Rock"
324,None
325,"New Wave, Alternative Rock"
326,"Lo-Fi, Indie Rock"
327,"Alternative Rock, Indie Rock"
328,"Soul, Funk"
329,"Blues Rock, Folk Rock, Classic Rock"
330,"Beat, Soundtrack, Pop Rock"
331,Folk Rock
332,"Rock & Roll, Punk"
333,None
334,Alternative Rock
335,"Alternative Rock, Art Rock"
336,"Classic Rock, Prog Rock"
337,"Folk Rock, Blues Rock, Psychedelic Rock"
338,"Contemporary Jazz, Spoken Word"
339,"Hardcore, Punk"
340,"Breakbeat, Leftfield, Downtempo"
341,Synth-pop
342,Pop Rock
343,Hard Rock
344,"Funk, Indie Rock, New Wave"
345,None
346,Psychedelic Rock
347,"Blues Rock, Chicago Blues"
348,None
349,"Blues Rock, Pop Rock"
350,"Hard Rock, Arena Rock"
351,"AOR, Classic Rock"
352,None
353,"Pop Rock, Ballad, Latin Jazz"
